Symbol,Buy Time,Buy Price,Sell Time,Sell Price,Profit per Share,ROC (%)
HQL,,,,,,
AUST,2025-02-28 15:47:00,1.1800999641418457,2025-02-28 21:00:00,1.24,0.05990003585815429,5.075844223223315
GDDY,2025-02-28 18:23:00,176.25999450683594,2025-02-28 21:00:00,179.5,3.2400054931640625,1.838196751468981
AYRO,,,,,,
AFJKU,,,,,,
DPG,,,,,,
HPS,,,,,,
BPOP,,,,,,
BCGWW,,,,,,
SOR,,,,,,
TMQ,2025-02-28 14:54:00,1.409999966621399,2025-02-28 21:00:00,1.43,0.020000033378601012,1.4184421171671737
VNDA,,,,,,
METCL,,,,,,
DESP,2025-02-28 19:44:00,19.180999755859375,2025-02-28 21:00:00,19.22,0.03900024414062386,0.2033274836402109
IMAX,,,,,,
KHC,2025-02-28 15:25:00,30.635000228881836,2025-02-28 21:00:00,30.6001,-0.03490022888183475,-0.11392273093222233
YGMZ,,,,,,
FTFT,,,,,,
AUDC,,,,,,
GNE,,,,,,
JHI,,,,,,
INUV,,,,,,
BRCC,,,,,,
GAINI,,,,,,
FIX,,,,,,
ZTR,,,,,,
WLYB,,,,,,
GLSTU,,,,,,
PLL,,,,,,
NXDT^A,,,,,,
TMHC,2025-02-28 18:27:00,60.93000030517578,2025-02-28 21:00:00,61.64,0.7099996948242193,1.1652711164747975
CMBM,,,,,,
BRAG,,,,,,
QETA,,,,,,
ZBRA,2025-02-28 18:10:00,308.739990234375,2025-02-28 19:52:00,310.6499938964844,1.910003662109375,0.6186447245332315
HES,2025-02-28 16:42:00,147.19000244140625,2025-02-28 18:48:00,148.25999450683594,1.0699920654296875,0.7269461564521901
PVH,2025-02-28 18:10:00,74.72000122070312,2025-02-28 21:00:00,74.84,0.11999877929687841,0.1605979354074604
VRTS,,,,,,
SNY,2025-02-28 19:12:00,54.119998931884766,2025-02-28 19:55:00,54.255001068115234,0.13500213623046875,0.2494496284088659
MUR,2025-02-28 16:47:00,26.389999389648438,2025-02-28 21:00:00,26.49,0.10000061035156094,0.37893373499200045
MAIA,,,,,,
EHGO,,,,,,
IBEX,,,,,,
FLNT,,,,,,
PYXS,,,,,,
KITTW,,,,,,
AUBN,,,,,,
FINW,,,,,,
INZY,,,,,,
DHF,,,,,,
HAIN,2025-02-28 15:32:00,3.6050000190734863,2025-02-28 21:00:00,3.58,-0.025000019073486257,-0.6934818014206685
BNAI,2025-02-28 15:07:00,0.3693000078201294,2025-02-28 21:00:00,0.389,0.019699992179870618,5.334414233065941
IMUX,,,,,,
TDC,2025-02-28 18:11:00,23.344999313354492,2025-02-28 21:00:00,23.84,0.49500068664550767,2.1203713908971626
TM,,,,,,
CRAI,,,,,,
AKO/B,,,,,,
CZR,2025-02-28 18:04:00,33.04499816894531,2025-02-28 21:00:00,33.22,0.17500183105468636,0.5295864450043994
BCS,,,,,,
JPM^C,,,,,,
LGIH,,,,,,
LOGC,2025-02-28 16:02:00,8.260000228881836,2025-02-28 21:00:00,8.19,-0.07000022888183643,-0.8474603746023435
NVR,,,,,,
SKYX,,,,,,
BEEP,,,,,,
BAC^B,,,,,,
SILA,,,,,,
SAN,2025-02-28 19:09:00,6.34499979019165,2025-02-28 21:00:00,6.4,0.055000209808349965,0.8668276064149197
RGTI,2025-02-28 18:05:00,8.289999961853027,2025-02-28 18:52:00,8.439900398254395,0.1499004364013672,1.80820792631054
SGN,2025-02-28 16:01:00,1.2200000286102295,2025-02-28 21:00:00,1.28,0.059999971389770534,4.918030326451703
ZURA,,,,,,
AITR,,,,,,
LEA,2025-02-28 16:48:00,95.5,2025-02-28 21:00:00,93.99,-1.5100000000000051,-1.5811518324607383
SOHOB,,,,,,
FCNCO,,,,,,
WBS^F,,,,,,
LLYVK,2025-02-28 18:14:00,71.87999725341797,2025-02-28 20:03:00,72.6449966430664,0.7649993896484375,1.0642729811902725
